lsoa11,ahah,ahah_rnk,ahah_pct,h,gp,dent,phar,hosp
E01009798,31.2957839,36009,87,-0.221810532,1.6829,3.0225,1.6829,4.3904
E01009799,23.89046809,28388,69,-0.418302329,1.6705,2.8055,1.674,3.5384
E01009800,21.32977302,23985,58,-0.910404266,1.1496,1.9741,1.1496,2.21085
E01009801,20.35012414,21951,53,-0.545339574,1.9516,1.8721,1.8564,1.8295
E01009802,20.33364883,21911,53,-0.263588935,1.831,2.7591,1.831,3.963
E01009803,18.39940815,17681,43,0.129846168,3.2755,2.7855,2.924,5.0996
E01009804,17.76531138,16232,39,0.403593851,4.8612,3.5965,3.9329,5.6037
E01009805,23.11365908,27156,66,-0.499851074,1.8484,1.431868421,3.560342105,2.9953
E01009806,21.09573883,23520,57,-0.492688846,1.847168421,1.604668421,2.8925,3.5301
E01009807,21.53341344,24382,59,-0.553121667,1.0575,2.14,1.43,2.962
E01009808,25.89836154,31140,75,0.219755203,2.525,3.87,3.5525,4.6795
E01009809,24.05402547,28608,69,0.001492485,3.2949,1.9116,3.1068,3.2949
E01009810,24.02096111,28569,69,-0.298047991,1.56325,3.3376,1.684,3.52485
E01009811,28.35596807,33674,81,0.136648336,2.8245,3.8665,2.87865,4.2089
E01009812,28.13226224,33446,81,0.587100858,4.13,5.475,5.09,6.2845
E01009813,24.27417833,28935,70,-0.227602164,2.8048,1.44,2.4348,2.8048
E01009814,21.08336829,23501,57,0.319976723,4.7571,2.6624,4.3431,6.2543
E01009815,17.69672546,16046,39,0.288591131,3.7223,3.3738,4.1225,6.1176
E01009816,25.28646495,30400,73,0.130857863,4.41125,3.71015,2.4531,3.906
E01009817,19.5054036,20154,49,-0.208112833,3.2847,1.4418,2.30625,4.7819
E01009818,22.57749572,26216,63,0.512005052,5.6661,3.3308,5.3995,7.1633
E01009819,19.17975602,19418,47,-0.121841637,3.8903,3.2021,1.0803,5.3191
E01009820,24.36204302,29046,70,-1.048741172,1.44065,1.862,0.6399,2.18175
E01009821,23.56549697,27889,67,-0.174564244,2.8698,1.3025,3.158,4.8395
E01009822,23.1063166,27143,66,-1.02819652,0.96,3.0323,0.6025,2.8769
E01009823,20.47008819,22234,54,0.087246542,3.2625,5.63875,3.36,1.7975
E01009824,18.7053859,18353,44,-1.009527231,1.2502,1.4686,1.437,1.4686
E01009825,19.92040759,21039,51,-0.651388525,2.3886,2.50875,1.4724,2.1372
E01009826,23.57616572,27900,67,0.107904952,2.9334,4.59,3.1879,3.8594
E01009827,16.14948812,12354,30,0.028211047,2.7954,4.7279,3.0629,3.66065
E01009828,15.47881034,10780,26,-0.314680831,2.14,4.81875,2.255,1.1875
E01009829,19.54416291,20243,49,-0.278306067,2.033,2.9625,2.033,3.1232
E01009830,17.41858375,15378,37,-0.293684136,2.67775,3.315,2.4063,2.2314
E01009831,20.42375037,22128,54,-0.148328981,1.1475,5.5522,1.1475,6.64615
E01009832,23.51769547,27813,67,-0.038675011,1.357,5.312,1.357,6.90525
E01009833,35.48271953,38254,92,-0.649264295,1.6514,2.5864,1.13595,2.04895
E01009834,20.31138422,21864,53,-0.121371076,2.837,2.6633,2.9771,3.3447
E01009835,29.80538932,34941,84,-0.171100833,2.392,3.3756,2.062,3.1301
E01009836,35.60807979,38302,92,-1.004569273,1.1066,1.5203,1.0503,2.3713
E01009837,29.69198237,34853,84,-0.797085743,1.0045,1.342,1.7578,2.5142
E01009838,21.54213926,24396,59,0.16908367,2.12,5.98375,2.12,5.9791
E01009839,19.52817181,20207,49,-0.198226633,1.74325,4.99715,2.7175,1.275
E01009840,30.70484587,35599,86,-0.1319744,3.1522,2.6682,2.4441,3.0403
E01009841,17.69621408,16045,39,-0.357366521,1.21,4.74755,3.7195,0.9125
E01009842,29.75978192,34904,84,-0.460806828,2.5922,1.594,1.5466,2.5922
E01009843,26.22029412,31525,76,-0.020930672,3.1255,2.293,4.0447,3.1255
E01009844,22.72951019,26486,64,0.10742112,2.5814,5.663421053,2.741,2.6158
E01009845,12.74305339,5016,13,-0.158973518,3.1188,2.36785,2.39785,2.79015
E01009846,15.31783759,10400,25,0.34736574,6.31885,4.1545,2.20075,6.2805
E01009847,20.60309146,22493,54,0.262239078,3.9049,3.1727,3.2277,5.9568
E01009848,17.67350413,16004,39,-0.181362077,3.01935,1.9068,2.021,4.3987
E01009849,14.68147077,8886,22,0.017453318,4.8316,3.5242,1.0905,5.7077
E01009850,16.65415954,13514,33,-0.621828156,3.7284,0.9507,1.4868,2.1861
E01009851,12.95138163,5383,13,-0.103301917,4.75675,2.42235,1.3725,4.5529
E01009852,14.66418903,8851,22,0.184911733,5.658,2.8326,2.6857,4.6252
E01009853,18.85477527,18680,45,0.276087996,3.11,4.1725,3.11,5.2672
E01009854,16.94840502,14210,35,0.182137794,3.6403,3.27,3.4775,3.8876
E01009855,17.04473774,14463,35,0.42982744,4.2384,4.3595,4.6118,4.7141
E01009856,29.51707947,34719,84,-0.764405847,3.736831579,1.217,1.714,1.47
E01009857,17.50414026,15593,38,-0.351499134,4.1856,1.1898,2.4401,2.0766
E01009858,22.65514258,26360,64,-0.980222811,3.606,0.8986,1.1646,1.07
E01009859,16.0915665,12234,30,0.154865121,4.155,2.6147,3.7362,3.4783
E01009860,17.95532064,16677,40,0.117756076,3.3635,2.7225,3.508,3.7117
E01009861,26.02627902,31307,76,-0.684382192,1.98735,0.85495,1.72695,1.98735
E01009862,26.03443877,31321,76,-0.401436179,2.0713,2.6664,1.4712,2.0713
E01009863,23.83583439,28289,68,-0.281717343,1.775,2.48285,2.85055,1.775
E01009864,22.93862659,26872,65,0.091374583,3.424,2.7708,2.5095,5.2514
E01009865,22.93965138,26876,65,-0.251814294,1.722,1.5341,2.7786,5.2274
E01009866,24.60610925,29439,71,-0.344959379,1.14,1.6298,3.1872,4.2875
E01009867,21.60432576,24503,59,-0.010838263,1.7975,2.5781,3.7725,4.5375
E01009868,24.5878123,29400,71,-1.02340156,1.1352,2.02105,0.9744,1.1352
E01009869,24.86991328,29829,72,-0.139590706,2.2765,2.4445,2.9153,3.3637
E01009870,28.25881945,33584,81,0.050671021,3.1712,3.47835,3.0755,3.1712
E01009871,23.55310917,27870,67,0.14241873,3.738,3.738,4.4925,3.738
E01009872,30.05405569,35127,85,-0.822954887,2.4287,0.919,0.93125,2.3817
E01009873,25.49864683,30668,74,-0.441462225,3.13245,1.2365,1.38075,3.13245
E01009874,19.31934141,19738,48,0.205535133,4.44045,4.14275,2.71875,3.4592
E01009875,24.93780984,29943,72,-0.258190822,4.0755,2.5246,3.0025,2.13705
E01009876,26.39533367,31687,76,-0.316698047,4.1431,2.3621,2.55,1.6275
E01009877,24.41104665,29111,70,-0.343494101,2.5845,4.10945,0.75925,3.9826
