LSOA21CD,ah4dent,ah4gp,ah4hosp,ah4phar,ah4leis,ah4h
S01011020,5.3377,5.5607,10.7509,5.3377,8.9445,1.1853
S01011021,4.0615,4.3663,4.8562,3.5923,5.2092,0.8056
S01011022,1.958,2.9123,4.3985,1.4888,3.8245,0.1917
S01011023,1.4779,3.0302,4.4458,1.4614,3.908,0.1192
S01011024,1.1101,2.8087,4.2949,1.6059,3.721,0.0278
S01011025,1.8766,3.2549,4.7411,2.3784,4.1671,0.3893
S01011026,2.1602,3.1422,4.6284,2.7154,4.0544,0.4481
S01011027,1.2548,2.3245,3.8108,1.8504,3.2368,0.0052
S01011028,1.6849,1.0232,2.5094,1.0232,1.9354,-0.5921
S01011029,1.8401,1.8468,3.333,1.8468,2.7591,-0.0144
S01011030,2.6011,3.1184,4.6046,3.1184,4.0307,0.5294
S01011031,2.2054,1.6166,1.5785,1.5624,1.5826,-0.3835
S01011032,1.2569,1.9435,0.737,1.7285,1.8367,-0.6804
S01011033,1.6755,2.7793,1.9285,1.5633,1.4482,-0.2719
S01011034,0.9348,2.9705,1.8916,0.7439,0.6288,-0.9412
S01011035,1.6677,3.447,2.5143,0.7637,0.8845,-0.5392
S01011036,1.9095,4.0319,2.9327,0.9543,1.1263,-0.2787
S01011037,3.0533,3.0024,5.0872,1.8271,3.2808,0.3709
S01011038,2.9668,2.1959,5.5916,1.3042,3.7852,0.2129
S01011039,3.0482,2.1882,5.5487,1.2965,3.7423,0.213
S01011040,2.4149,1.9112,6.531,1.3917,4.7246,0.2173
S01011041,1.7457,1.2775,6.5378,1.3615,4.7314,-0.0105
S01011042,2.0161,0.7804,6.5977,1.3112,4.7913,-0.1597
S01011043,1.3699,1.8057,7.069,1.3699,5.2626,0.0657
S01011044,2.3441,2.4915,7.7548,2.3441,5.9484,0.5281
S01011045,36.0498,24.3278,37.3121,24.3278,40.263,2.7571
S01011046,26.2976,12.6209,21.4775,12.388,42.9331,2.2133
S01011047,20.6255,9.0326,9.0183,9.0326,39.8659,1.833
S01011048,19.3819,1.1167,1.1023,0.8597,33.8507,0.2314
S01011049,19.2877,0.9799,0.9656,0.9071,34.0404,0.1586
S01011050,21.9271,22.0508,22.0508,21.0257,40.8423,2.4981
S01011051,12.8715,12.9951,12.9951,3.3607,23.5661,1.6449
S01011052,0.7611,0.7655,0.7655,0.7611,34.2485,-0.8355
S01011053,12.1883,12.312,12.312,0.8831,22.8166,1.1729
S01011054,6.2988,6.4224,6.4224,6.2988,31.2775,1.4112
S01011055,17.3082,13.428,13.428,12.902,30.2699,1.9821
S01011056,12.0493,11.8395,11.8395,11.2431,20.6183,1.734
S01011057,5.2414,4.8409,4.8409,4.83,19.8128,1.1556
S01011058,14.9154,15.0475,15.0475,14.7171,28.8827,2.0248
S01011059,20.8871,21.254,21.4917,18.2093,22.9308,2.3018
S01011060,1.0382,1.3891,1.3891,0.8612,19.1152,-0.3864
S01011061,0.6942,1.6017,1.6017,1.1472,19.7323,-0.3209
S01011062,0.5639,0.9205,0.9205,0.6785,19.1415,-0.9771
S01011063,1.7433,1.6641,1.6641,1.3307,19.311,0.0443
S01011064,2.1611,1.629,1.629,0.7328,17.9999,-0.1427
S01011065,21.5477,19.1788,22.8212,9.7079,24.9691,2.1602
S01011066,16.9738,14.2278,20.2708,0.9958,16.2571,1.3604
S01011067,16.5002,14.7714,19.7972,0.9602,15.7835,1.3401
S01011068,13.0026,13.7933,15.7173,0.5104,12.2858,0.9315
S01011069,8.7044,9.495,11.4191,4.9321,7.9876,1.3351
S01011070,7.9036,8.7035,10.6276,5.3065,7.1961,1.2845
S01011071,12.8835,13.6043,15.6455,1.8099,12.1667,1.3877
S01011072,10.2615,9.6955,12.8778,9.5449,9.5449,1.5031
S01011073,4.3223,5.088,7.3298,3.6055,3.6055,0.8342
S01011074,3.2549,4.0455,5.9696,2.5381,2.5381,0.5153
S01011075,2.3259,2.2321,5.7714,1.6091,1.6091,0.0107
S01011076,1.5404,2.0896,4.9859,0.8237,0.8237,-0.567
S01011077,2.1945,1.8907,5.5848,1.4779,1.4779,-0.1113
S01011078,2.1246,2.0437,4.8039,1.2851,1.4594,-0.171
S01011079,0.8606,2.2168,4.0551,0.7834,0.7374,-0.8174
S01011080,1.8283,2.2489,2.4968,0.6233,2.2092,-0.4715
S01011081,2.7338,1.3648,1.6127,1.4948,3.1057,-0.2141
S01011082,2.8048,1.2575,1.5055,1.7916,3.1767,-0.1903
S01011083,5.6223,6.1813,6.4293,4.3699,6.0032,1.0271
S01011084,10.6355,9.6129,11.3213,8.9719,9.3575,1.4669
S01011085,26.384,12.05,28.2027,11.4846,12.4393,1.9906
S01011086,20.4462,5.7246,22.2649,5.1591,6.1138,1.5204
S01011087,19.7905,4.7397,21.6093,4.1743,5.1289,1.4122
S01011088,19.2526,1.1286,19.8605,0.737,1.6195,0.1631
S01011089,19.6906,1.5109,20.2984,1.4547,2.0575,0.5833
S01011090,12.1617,10.6926,12.5562,10.2029,13.0965,1.6118
S01011091,17.0664,11.5955,19.1385,10.512,11.9477,1.7855
S01011092,7.0744,8.4978,8.8931,6.7019,6.2166,1.2321
S01011093,7.1366,7.2672,9.6571,7.266,7.6614,1.2656
S01011094,5.5899,6.096,6.4913,5.598,5.9854,1.0574
S01011095,11.5732,10.7551,10.662,11.1204,11.6025,1.5667
S01011096,4.628,7.071,7.4664,4.4306,5.7985,1.0421
S01011097,14.5511,15.8351,16.3953,6.9913,13.6229,1.7594
S01011098,12.7172,14.1406,14.536,2.2605,11.8595,1.4438
S01011099,12.0685,13.492,13.8873,3.1424,11.2108,1.4898
S01011100,11.0822,12.5056,12.901,1.6399,10.2245,1.2335
S01011101,3.4873,4.9855,5.3809,3.5968,2.7491,0.6633
S01011102,3.0232,4.4466,4.842,3.0579,2.1878,0.4944
S01011103,1.1533,2.7085,3.1039,1.1334,1.0013,-0.4874
S01011104,0.9973,3.1406,3.536,0.7975,1.1427,-0.5658
S01011105,3.1679,4.5913,4.9867,3.2026,2.3102,0.5423
